"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Omaha! This is a *huge* open space and it's full of people.  #powertothepolls #womensmarch2018 #womensmarch‚Ä¶ https://t.co/3mR3RQaFfD",FALSE,0,NA,2018-01-20 21:35:34,TRUE,NA,"954829782293843968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SwingLeftMW",0,FALSE,FALSE,NA,NA
"2","RT @marcellalaluna: Look at the line to march...it's lit Ì†ΩÌ¥• #womensmarch #WomensMarch2018 #SaturdayMorning https://t.co/gmBntD1oYj",FALSE,0,NA,2018-01-20 21:35:33,FALSE,NA,"954829777214488576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MitchellReardon",535,TRUE,FALSE,NA,NA
"3","RT @USseriously: Great turnout for the Central PA Women‚Äôs March at State College, Pennsylvania. #WomensMarch2018 #WomensMarch #GrabEmByTheM‚Ä¶",FALSE,0,NA,2018-01-20 21:35:26,FALSE,NA,"954829749272145921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MoLulkowski",225,TRUE,FALSE,NA,NA
"4","RT @Lilatron22: 2 BIG MOODS ‚ôÄ
#womensmarch #womensmarch2018 https://t.co/lqghHfbDoL",FALSE,0,NA,2018-01-20 21:35:25,FALSE,NA,"954829744213839878",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","nochance56",358,TRUE,FALSE,NA,NA
"5","RT @Lilatron22: 2 BIG MOODS ‚ôÄ
#womensmarch #womensmarch2018 https://t.co/lqghHfbDoL",FALSE,0,NA,2018-01-20 21:35:25,FALSE,NA,"954829742456193024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kmfcounseling22",358,TRUE,FALSE,NA,NA
"6","Love these signs at the #WomensMarch in #Omaha today. #WomensMarch2018 #WomensMarchOMA #inspired https://t.co/lyFOP4tzIa",FALSE,0,NA,2018-01-20 21:35:24,FALSE,NA,"954829741311307778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","the_Tak_",0,FALSE,FALSE,NA,NA
"7","RT @PoliticalShort: #WomensMarch2018, remember who they are ‚Äúmarching‚Äù for as the #WomensMarch celebrates those like cop killing terrorist‚Ä¶",FALSE,0,NA,2018-01-20 21:35:24,FALSE,NA,"954829739012907008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heyuwoman",802,TRUE,FALSE,NA,NA
"8","RT @WeinbergLindsay: We got some Harry Potter fans out here @EmmaWatson #WomensMarch2018 #WomensMarchLA #WomensMarch https://t.co/qfXn9TuXpY",FALSE,0,NA,2018-01-20 21:35:20,FALSE,NA,"954829723938455552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmWatsonPT",13,TRUE,FALSE,NA,NA
"9","RT @brentdawes: Women‚Äôs March outside #Trump #tower in #Vancouver right now. #TrumpTower #WomensMarch2018 #WomensMarch Ì†ΩÌ≥∏ @Koomsby https://t‚Ä¶",FALSE,0,NA,2018-01-20 21:35:13,FALSE,NA,"954829694330966019",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","your_neighbors",72,TRUE,FALSE,NA,NA
"10","BEST SIGN from #WomensMarch2018 Ì†ΩÌ±èÌ†ΩÌ∏Ç
#DonaldTrump

#Trump #TrumpShutdown #shutdown2018 #SchumerShutdown #Schumer‚Ä¶ https://t.co/CSIiP8CaFh",FALSE,0,NA,2018-01-20 21:35:12,TRUE,NA,"954829689729835020",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1alexcam",0,FALSE,FALSE,NA,NA
